% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 07:55
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=20000, Switch 1=Titanium beta-21S
0.015151515151515152      -0.005818181818181819    -31501.90414119137+8289.071676913558i
0.015454545454545455      -0.005818181818181819    -30166.45403969675+8563.583077736623i
0.01575757575757576       -0.005818181818181819    -28864.238880601442+8799.49784630423i
0.01606060606060606       -0.005818181818181819    -27598.89219005455+8990.478682467072i
0.016363636363636365      -0.005818181818181819    -26376.04363027703+9147.231573884472i
0.016666666666666666      -0.005818181818181819    -25190.885162692037+9273.71471072552i
0.016969696969696968      -0.005818181818181819    -24044.479688892796+9365.710956687139i
0.017272727272727273      -0.005818181818181819    -22943.462803622042+9424.280794654504i
0.017575757575757574      -0.005818181818181819    -21882.414950650076+9460.744644161143i
0.01787878787878788       -0.005818181818181819    -20860.778628475335+9471.725744840345i
